
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние       PID
  TCP    0.0.0.0:21             0.0.0.0:0              LISTENING       2968
  TCP    0.0.0.0:88             0.0.0.0:0              LISTENING       3148
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       680
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING       3148
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:888            0.0.0.0:0              LISTENING       2288
  TCP    0.0.0.0:1433           0.0.0.0:0              LISTENING       8028
  TCP    0.0.0.0:1947           0.0.0.0:0              LISTENING       3008
  TCP    0.0.0.0:2382           0.0.0.0:0              LISTENING       3692
  TCP    0.0.0.0:2540           0.0.0.0:0              LISTENING       4216
  TCP    0.0.0.0:2541           0.0.0.0:0              LISTENING       5084
  TCP    0.0.0.0:2560           0.0.0.0:0              LISTENING       5540
  TCP    0.0.0.0:2561           0.0.0.0:0              LISTENING       5728
  TCP    0.0.0.0:2562           0.0.0.0:0              LISTENING       5628
  TCP    0.0.0.0:2563           0.0.0.0:0              LISTENING       5572
  TCP    0.0.0.0:2564           0.0.0.0:0              LISTENING       5548
  TCP    0.0.0.0:2565           0.0.0.0:0              LISTENING       5588
  TCP    0.0.0.0:2566           0.0.0.0:0              LISTENING       5516
  TCP    0.0.0.0:2567           0.0.0.0:0              LISTENING       5676
  TCP    0.0.0.0:2568           0.0.0.0:0              LISTENING       5692
  TCP    0.0.0.0:2569           0.0.0.0:0              LISTENING       5532
  TCP    0.0.0.0:2570           0.0.0.0:0              LISTENING       5656
  TCP    0.0.0.0:2571           0.0.0.0:0              LISTENING       5524
  TCP    0.0.0.0:2572           0.0.0.0:0              LISTENING       5636
  TCP    0.0.0.0:2573           0.0.0.0:0              LISTENING       5712
  TCP    0.0.0.0:2574           0.0.0.0:0              LISTENING       5668
  TCP    0.0.0.0:2575           0.0.0.0:0              LISTENING       5704
  TCP    0.0.0.0:2576           0.0.0.0:0              LISTENING       6820
  TCP    0.0.0.0:3307           0.0.0.0:0              LISTENING       3548
  TCP    0.0.0.0:3690           0.0.0.0:0              LISTENING       3584
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5931           0.0.0.0:0              LISTENING       9872
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       2248
  TCP    0.0.0.0:47984          0.0.0.0:0              LISTENING       4472
  TCP    0.0.0.0:47989          0.0.0.0:0              LISTENING       4472
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       892
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       1208
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING       1236
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING       1976
  TCP    0.0.0.0:49166          0.0.0.0:0              LISTENING       1004
  TCP    0.0.0.0:49263          0.0.0.0:0              LISTENING       996
  TCP    0.0.0.0:49264          0.0.0.0:0              LISTENING       7264
  TCP    0.0.0.0:57680          0.0.0.0:0              LISTENING       2248
  TCP    127.0.0.1:1434         0.0.0.0:0              LISTENING       8028
  TCP    127.0.0.1:3001         0.0.0.0:0              LISTENING       3628
  TCP    127.0.0.1:3002         0.0.0.0:0              LISTENING       3656
  TCP    127.0.0.1:3307         127.0.0.1:49192        ESTABLISHED     3548
  TCP    127.0.0.1:3307         127.0.0.1:49193        ESTABLISHED     3548
  TCP    127.0.0.1:6109         0.0.0.0:0              LISTENING       3960
  TCP    127.0.0.1:6543         0.0.0.0:0              LISTENING       10416
  TCP    127.0.0.1:9990         0.0.0.0:0              LISTENING       2784
  TCP    127.0.0.1:14147        0.0.0.0:0              LISTENING       2968
  TCP    127.0.0.1:23401        0.0.0.0:0              LISTENING       11260
  TCP    127.0.0.1:49168        127.0.0.1:49169        ESTABLISHED     3960
  TCP    127.0.0.1:49169        127.0.0.1:49168        ESTABLISHED     3960
  TCP    127.0.0.1:49170        127.0.0.1:49171        ESTABLISHED     3960
  TCP    127.0.0.1:49171        127.0.0.1:49170        ESTABLISHED     3960
  TCP    127.0.0.1:49172        127.0.0.1:49173        ESTABLISHED     3960
  TCP    127.0.0.1:49173        127.0.0.1:49172        ESTABLISHED     3960
  TCP    127.0.0.1:49174        127.0.0.1:49175        ESTABLISHED     3960
  TCP    127.0.0.1:49175        127.0.0.1:49174        ESTABLISHED     3960
  TCP    127.0.0.1:49176        127.0.0.1:49177        ESTABLISHED     3960
  TCP    127.0.0.1:49177        127.0.0.1:49176        ESTABLISHED     3960
  TCP    127.0.0.1:49178        127.0.0.1:49179        ESTABLISHED     3960
  TCP    127.0.0.1:49179        127.0.0.1:49178        ESTABLISHED     3960
  TCP    127.0.0.1:49180        127.0.0.1:49181        ESTABLISHED     3960
  TCP    127.0.0.1:49181        127.0.0.1:49180        ESTABLISHED     3960
  TCP    127.0.0.1:49182        127.0.0.1:49183        ESTABLISHED     3960
  TCP    127.0.0.1:49183        127.0.0.1:49182        ESTABLISHED     3960
  TCP    127.0.0.1:49184        127.0.0.1:49185        ESTABLISHED     3960
  TCP    127.0.0.1:49185        127.0.0.1:49184        ESTABLISHED     3960
  TCP    127.0.0.1:49186        127.0.0.1:49187        ESTABLISHED     3960
  TCP    127.0.0.1:49187        127.0.0.1:49186        ESTABLISHED     3960
  TCP    127.0.0.1:49188        127.0.0.1:49189        ESTABLISHED     3960
  TCP    127.0.0.1:49189        127.0.0.1:49188        ESTABLISHED     3960
  TCP    127.0.0.1:49190        127.0.0.1:49191        ESTABLISHED     3960
  TCP    127.0.0.1:49191        127.0.0.1:49190        ESTABLISHED     3960
  TCP    127.0.0.1:49192        127.0.0.1:3307         ESTABLISHED     3628
  TCP    127.0.0.1:49193        127.0.0.1:3307         ESTABLISHED     3656
  TCP    127.0.0.1:49271        127.0.0.1:65001        ESTABLISHED     4472
  TCP    127.0.0.1:49377        127.0.0.1:65000        ESTABLISHED     10840
  TCP    127.0.0.1:65000        0.0.0.0:0              LISTENING       4472
  TCP    127.0.0.1:65000        127.0.0.1:49377        ESTABLISHED     4472
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING       4472
  TCP    127.0.0.1:65001        127.0.0.1:49271        ESTABLISHED     4472
  TCP    162.162.162.30:139     0.0.0.0:0              LISTENING       4
  TCP    162.162.162.30:51392   51.105.249.239:443     ESTABLISHED     9708
  TCP    162.162.162.30:55722   23.105.254.132:443     ESTABLISHED     9872
  TCP    162.162.162.30:57559   64.233.165.188:5228    ESTABLISHED     12060
  TCP    162.162.162.30:57680   51.89.65.34:80         ESTABLISHED     2248
  TCP    162.162.162.30:57680   124.120.194.49:52189   ESTABLISHED     2248
  TCP    162.162.162.30:57695   85.10.193.220:443      ESTABLISHED     7536
  TCP    192.168.13.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.150.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:21                [::]:0                 LISTENING       2968
  TCP    [::]:88                [::]:0                 LISTENING       3148
  TCP    [::]:135               [::]:0                 LISTENING       680
  TCP    [::]:443               [::]:0                 LISTENING       3148
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:888               [::]:0                 LISTENING       2288
  TCP    [::]:1433              [::]:0                 LISTENING       8028
  TCP    [::]:1947              [::]:0                 LISTENING       3008
  TCP    [::]:2382              [::]:0                 LISTENING       3692
  TCP    [::]:2540              [::]:0                 LISTENING       4216
  TCP    [::]:2541              [::]:0                 LISTENING       5084
  TCP    [::]:2560              [::]:0                 LISTENING       5540
  TCP    [::]:2561              [::]:0                 LISTENING       5728
  TCP    [::]:2562              [::]:0                 LISTENING       5628
  TCP    [::]:2563              [::]:0                 LISTENING       5572
  TCP    [::]:2564              [::]:0                 LISTENING       5548
  TCP    [::]:2565              [::]:0                 LISTENING       5588
  TCP    [::]:2566              [::]:0                 LISTENING       5516
  TCP    [::]:2567              [::]:0                 LISTENING       5676
  TCP    [::]:2568              [::]:0                 LISTENING       5692
  TCP    [::]:2569              [::]:0                 LISTENING       5532
  TCP    [::]:2570              [::]:0                 LISTENING       5656
  TCP    [::]:2571              [::]:0                 LISTENING       5524
  TCP    [::]:2572              [::]:0                 LISTENING       5636
  TCP    [::]:2573              [::]:0                 LISTENING       5712
  TCP    [::]:2574              [::]:0                 LISTENING       5668
  TCP    [::]:2575              [::]:0                 LISTENING       5704
  TCP    [::]:2576              [::]:0                 LISTENING       6820
  TCP    [::]:3587              [::]:0                 LISTENING       7784
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:49152             [::]:0                 LISTENING       892
  TCP    [::]:49153             [::]:0                 LISTENING       1208
  TCP    [::]:49154             [::]:0                 LISTENING       1236
  TCP    [::]:49155             [::]:0                 LISTENING       1976
